species,chrom.num
POCHCH_Chrysolina_affinis,11
POCHCH_Chrysolina_americana,11
POCHCH_Chrysolina_aurichalcea,"22,19,15,20"
POCHCH_Chrysolina_bicolor,11
POCHCH_Chrysolina_carnifex,19
POCHCH_Chrysolina_cerealis,11
POCHCH_Chrysolina_coerulans,11
POCHCH_Chrysolina_colasi,11
POCHCH_Chrysolina_curvilinea,19
POCHCH_Chrysolina_diluta,17
POCHCH_Chrysolina_fastuosa,11
POCHCH_Chrysolina_femoralis,11
POCHCH_Chrysolina_gemina,11
POCHCH_Chrysolina_geminata,19
POCHCH_Chrysolina_graminis,11
POCHCH_Chrysolina_grossa,11
POCHCH_Chrysolina_haemoptera,19
POCHCH_Chrysolina_herbacea,11
POCHCH_Chrysolina_lucida,11
POCHCH_Chrysolina_marginata,19
POCHCH_Chrysolina_obsoleta,11
POCHCH_Chrysolina_peregrina,22
POCHCH_Chrysolina_polita,11
POCHCH_Chrysolina_timarchoides,23
POCHCH_Chrysolina_varians,15
POCHCH_Chrysolina_viridana,11
