species,chrom.num
POCUSC_Ips_acuminatus,7
POCUSC_Ips_avulsus,15
POCUSC_Ips_bonanseai,15
POCUSC_Ips_borealis,15
POCUSC_Ips_calligraphus,15
POCUSC_Ips_confusus,15
POCUSC_Ips_cribricollis,15
POCUSC_Ips_emarginatus,15
POCUSC_Ips_hoppingi,15
POCUSC_Ips_hunteri,15
POCUSC_Ips_integer,15
POCUSC_Ips_knausi,15
POCUSC_Ips_latidens,9
POCUSC_Ips_lecontei,15
POCUSC_Ips_montanus,15
POCUSC_Ips_paraconfusus,15
POCUSC_Ips_perroti,15
POCUSC_Ips_perturbatus,15
POCUSC_Ips_pilifrons,15
POCUSC_Ips_pini,"14,15"
POCUSC_Ips_plastographus,15
POCUSC_Ips_sexdentatus,12
POCUSC_Ips_spinifer,9
POCUSC_Ips_tridens,15
POCUSC_Ips_typographus,"12,14"
POCUSC_Ips_woodi,15
