"","Norm.CV","Gain","Loss","Dupl","Scale","lnL"
"Cerambycidae","0.125994694960212","78.0462","75.1484","7884e-10","0.00191407","-140.848"
"Chrysolina","3.86740331491713","66.6117","	82.659","7884e-10","0.00664762","-75.5165"
"Chrysomelidae","0.129449838187702","86.4318","61.3064","0.701629","0.00200183","-894.202"
"Timarcha",NA,"20.4464","16.5648","0.147777","0.00868062","-72.1947"
"Tenebrionidae","0.0768608414239482","0.88265","4.33462","0.207259","0.00101986","-68.4937"
"Scarabaeidae","0.0596816976127321","3.89476","4.37797","0.857546","0.00132094","-212.615"
"Ips","0.483870967741935","1.28177","2.41819","0.357331","0.00353338","-49.1884"
"Elateridae","0.0647249190938511","1.23243","3.72278","0.935505","0.00731771","-37.0323"
"Dytiscidae","0.109289617486339","11.6973","12.5883","	1.38916","0.00414156","-117.803"
"Diabrotica","0.053763440860215",".955799","517e-10","DUPL	0","0.00241363","-8.54827"
"Dendroctonus","0.692640692640693","2.11192","1.66569","	0.69529","0.00912376","-36.5232"
"Curculionidae","0.101132686084142","78.6943","46.7904","0.127063","0.00261713","-409.613"
"Coccinellidae","0.268817204301075","17.7399","11.9477","4912e-10","0.00432001","-70.4617"
"Lampyridae",NA,".370996",".394508","7884e-10","0.00215931","-8.45626"
"Pterostichus","0.241935483870968","049e-10","6.81097","7884e-10"," 0.0055403","-26.5402"
"Bembidion","0.123456790123457","9.99538","564e-10","7884e-10","0.00443582","-70.9713"
"Cicindela","0.0663129973474801","18.9987","9.02185","0.198759","0.00751456","-80.6893"
"Carabidae","0.136186770428016","86.0161","55.7331","0.481812","0.00463761","-703.424"
